Symbol,Sector
A066700,제약_및_바이오
A066790,
A066900,하드웨어
A066910,내구_소비재_및_의류
A066970,하드웨어
A066980,기타금융
A067000,소프트웨어
A067010,소프트웨어
A067080,제약_및_바이오
A067160,소프트웨어
A067170,자본재
A067280,소비자_서비스
A067290,제약_및_바이오
A067310,반도체
A067390,자본재
A067570,자동차_및_부품
A067630,유통
A067730,하드웨어
A067770,디스플레이
A067830,유통
A067900,운송
A067920,소프트웨어
A067990,자동차_및_부품
A068050,미디어
A068240,자본재
A068270,제약_및_바이오
A068290,내구_소비재_및_의류
A068330,제약_및_바이오
A068400,소비자_서비스
A068760,제약_및_바이오
A068790,디스플레이
A068930,소비자_서비스
A068940,상업서비스
A069080,소프트웨어
A069110,
A069140,상업서비스
A069260,소재
A069330,
A069410,소프트웨어
A069460,소재
A069510,내구_소비재_및_의류
A069540,
A069620,제약_및_바이오
A069640,내구_소비재_및_의류
A069730,소재
A069920,유통
A069960,유통
A070300,하드웨어
A070590,소프트웨어
A070960,소비자_서비스
A071050,증권
A071090,소재
A071200,의료장비_및_서비스
A071280,디스플레이
A071320,유틸리티
A071460,내구_소비재_및_의류
A071670,자본재
A071840,유통
A071850,자동차_및_부품
A071950,내구_소비재_및_의류
A071970,자본재
A072020,제약_및_바이오
A072130,소프트웨어
A072470,자동차_및_부품
A072520,상업서비스
A072710,음식료_및_담배
A072770,소프트웨어
A072870,소비자_서비스
A072950,하드웨어
A072990,하드웨어
A073010,자본재
A073070,자동차_및_부품
A073110,디스플레이
A073190,내구_소비재_및_의류
A073240,자동차_및_부품
A073490,하드웨어
A073540,하드웨어
A073560,음식료_및_담배
A073570,반도체
A073640,자본재
A074430,제약_및_바이오
A074600,반도체
A074610,자본재
A075130,소프트웨어
A075180,자동차_및_부품
A075580,자본재
A075970,소재
A076080,자본재
A076610,하드웨어
A077280,
A077360,반도체
A077500,반도체
A077970,자본재
A078000,소프트웨어
A078020,증권
A078070,하드웨어
A078130,소재
A078140,제약_및_바이오
A078150,디스플레이
A078160,제약_및_바이오
A078340,소프트웨어
A078350,반도체
A078520,생활용품
A078590,
A078600,하드웨어
A078650,하드웨어
A078860,미디어
A078890,하드웨어
A078930,에너지
A078940,
A079000,자본재
A079160,미디어
A079170,소재
A079190,
A079370,반도체
A079430,내구_소비재_및_의류
A079440,
A079550,상업서비스
A079650,소재
A079660,
A079810,디스플레이
A079940,소프트웨어
A079950,디스플레이
A079960,하드웨어
A079970,소프트웨어
A079980,내구_소비재_및_의류
A080000,디스플레이
A080010,소프트웨어
A080160,소비자_서비스
A080220,하드웨어
A080420,하드웨어
A080440,
A080470,자동차_및_부품
A080520,반도체
A080530,생활용품
A080580,반도체
A080720,제약_및_바이오
A081000,소재
A081150,소재
A081580,하드웨어
A081660,내구_소비재_및_의류
A081970,
A082210,하드웨어
A082270,반도체
A082640,보험
A082660,하드웨어
A082740,자본재
A082800,디스플레이
A082850,디스플레이
A082920,하드웨어
A083310,반도체
A083420,소재
A083450,반도체
A083470,
A083500,디스플레이
A083550,반도체
A083640,하드웨어
A083650,에너지
A083660,
A083790,제약_및_바이오
A083930,디스플레이
A084010,소재
A084110,제약_및_바이오
A084180,
A084370,반도체
A084650,제약_및_바이오
A084670,운송
A084680,소비자_서비스
A084690,음식료_및_담배
A084730,자동차_및_부품
A084850,하드웨어
A084870,내구_소비재_및_의류
A084990,제약_및_바이오
A085310,자본재
A085370,의료장비_및_서비스
A085620,보험
A085660,의료장비_및_서비스
A085670,하드웨어
A085810,소프트웨어
A085910,자동차_및_부품
A086040,제약_및_바이오
A086060,제약_및_바이오
A086250,
A086280,운송
A086390,반도체
A086450,제약_및_바이오
A086520,하드웨어
A086670,자본재
A086790,은행
A086820,제약_및_바이오
A086890,제약_및_바이오
A086900,제약_및_바이오
A086960,소프트웨어
A086980,미디어
A087010,제약_및_바이오
A087260,자동차_및_부품
A087600,
A087730,
A088130,디스플레이
A088290,자동차_및_부품
A088350,보험
A088390,내구_소비재_및_의류
A088790,내구_소비재_및_의류
A088800,하드웨어
A088910,음식료_및_담배
A089010,소재
A089030,반도체
A089140,자본재
A089150,하드웨어
A089230,소프트웨어
A089470,자동차_및_부품
A089530,반도체
A089590,운송
A089600,미디어
A089790,반도체
A089850,하드웨어
A089890,반도체
A089970,반도체
A089980,디스플레이
A090080,자동차_및_부품
A090150,자동차_및_부품
A090350,자본재
A090360,자본재
A090370,내구_소비재_및_의류
A090410,자본재
A090430,생활용품
A090460,하드웨어
A090470,디스플레이
A090710,자본재
A090730,
A090740,디스플레이
A090850,소프트웨어
A091090,에너지
A091120,하드웨어
A091340,하드웨어
A091440,하드웨어
A091580,하드웨어
A091590,자본재
A091700,하드웨어
A091810,운송
A091970,소재
A091990,제약_및_바이오
A092040,제약_및_바이오
A092070,반도체
A092130,소프트웨어
A092190,디스플레이
A092200,자동차_및_부품
A092220,반도체
A092230,소재
A092300,하드웨어
